Variable,Description
addr_state,The state provided by the borrower in the loan application
annual_inc,The self-reported annual income provided by the borrower during registration.
annual_inc_joint,The combined self-reported annual income provided by the co-borrowers during registration
avg_cur_bal,Average current balance of all accounts
delinq_2yrs,The number of 30+ days past-due incidences of delinquency in the borrower's credit file for the past 2 years
delinq_amnt,The past-due amount owed for the accounts on which the borrower is now delinquent.
dti,"A ratio calculated using the borrower’s total monthly debt payments on the total debt obligations, excluding mortgage and the requested LC loan, divided by the borrower’s self-reported monthly income."
dti_joint,"A ratio calculated using the co-borrowers' total monthly payments on the total debt obligations, excluding mortgages and the requested LC loan, divided by the co-borrowers' combined self-reported monthly income"
earliest_cr_line,The month the borrower's earliest reported credit line was opened
emp_length,Employment length in years. Possible values are between 0 and 10 where 0 means less than one year and 10 means ten or more years. 
emp_title,The job title supplied by the Borrower when applying for the loan.*
home_ownership,"The home ownership status provided by the borrower during registration or obtained from the credit report. Our values are: RENT, OWN, MORTGAGE, OTHER"
inq_last_6mths,The number of inquiries in past 6 months (excluding auto and mortgage inquiries)
installment,The monthly payment owed by the borrower if the loan originates.
int_rate,Interest Rate on the loan
issue_d,The month which the loan was funded
loan_amnt,"The listed amount of the loan applied for by the borrower. If at some point in time, the credit department reduces the loan amount, then it will be reflected in this value."
loan_status,Current status of the loan
num_accts_ever_120_pd,Number of accounts ever 120 or more days past due
num_actv_bc_tl,Number of currently active bankcard accounts
num_bc_tl,Number of bankcard accounts
num_il_tl,Number of installment accounts
num_op_rev_tl,Number of open revolving accounts
num_rev_accts,Number of revolving accounts
num_tl_90g_dpd_24m,Number of accounts 90 or more days past due in last 24 months
open_acc,The number of open credit lines in the borrower's credit file.
open_il_12m,Number of installment accounts opened in past 12 months
percent_bc_gt_75,Percentage of all bankcard accounts > 75% of limit.
pub_rec,Number of derogatory public records
pub_rec_bankruptcies,Number of public record bankruptcies
purpose,A category provided by the borrower for the loan request. 
recoveries,post charge off gross recovery
revol_bal,Total credit revolving balance
revol_bal_joint," Sum of revolving credit balance of the co-borrowers, net of duplicate balances"
revol_util,"Revolving line utilization rate, or the amount of credit the borrower is using relative to all available revolving credit."
sub_grade,LC assigned loan subgrade
tax_liens,Number of tax liens
term,The number of payments on the loan. Values are in months and can be either 36 or 60.
tot_cur_bal,Total current balance of all accounts
tot_hi_cred_lim,Total high credit/credit limit
total_acc,The total number of credit lines currently in the borrower's credit file
total_bal_ex_mort,Total credit balance excluding mortgage
total_bc_limit,Total bankcard high credit/credit limit
total_pymnt,Payments received to date for total amount funded
total_rec_int,Interest received to date
total_rec_late_fee,Late fees received to date
total_rec_prncp,Principal received to date
verification_status,"Indicates if income was verified by LC, not verified, or if the income source was verified"
zip_code,The first 3 numbers of the zip code provided by the borrower in the loan application.
